Item,length,color,Type,Price,STOCK
2N1 L,,F1B_BG,2,6,25
2N1 L,,F4_27,2,6,49
2N1 L,,F4_30,2,6,41
2N1 L,,P27_613,2,6,27
2N1 L,,TT1B_27,2,6,0
2N1 L,,TT1B_33,2,6,3
2N1 L,,TT1B_BG,2,6,10
2N1 L (H),,1,6,40,4
2N1 L (H),,001B,6,40,8
2N1 L (H),,2,6,40,1
2N1 L (H),,4,6,40,0
2N1 L (H),,P18_22,6,40,0
2N1 L (H),,P1B_27,6,40,0
2N1 L (H),,P1B_30,6,40,10
2N1 L (H),,P1B_33,6,40,3
2N1 L (H),,P1B_350,6,40,5
2N1 L (H),,P1B_BG,6,40,2
2N1 L (H),,P27_613,6,40,1
2N1 L (H),,P4_27,6,40,0
2N1 L (H),,P4_30,6,40,0
2N1 S,,1,2,5,22
2N1 S,,001B,2,5,0
2N1 S,,2,2,5,34
2N1 S,,4,2,5,58
2N1 S,,34,2,5,60
2N1 S,,44,2,5,61
2N1 S,,51,2,5,47
2N1 S,,280,2,5,45
2N1 S,,2F350,2,5,181
2N1 S,,P1B_27,2,5,0
2N1 S,,P1B_30,2,5,0
2N1 S,,P1B_33,2,5,12
2N1 S,,P1B_BG,2,5,24
2N1 S,,P27_613,2,5,93
2N1 S,,P4_30,2,5,18
2N1 S,,T1B_27,2,5,23
2N1 S,,T1B_30,2,5,112
2N1 S,,T1B_33,2,5,175
2N1 S,,T2_27,2,5,71
2N1 S,,T2_30,2,5,111
2N1 S,,T2_33,2,5,129
2N1 S,,T2_BG,2,5,206
2N1 S,,T4_118_144,2,5,7
2N1 S (H),,1,6,15,17
2N1 S (H),,001B,6,15,4
2N1 S (H),,2,6,15,10
2N1 S (H),,4,6,15,2
2N1 S (H),,P1B_27,6,15,7
2N1 S (H),,P1B_30,6,15,5
2N1 S (H),,P1B_33,6,15,5
2N1 S (H),,P1B_350,6,15,7
2N1 S (H),,P1B_BG,6,15,7
2N1 S (H),,P27_613,6,15,3
2N1 S (H),,P4_27,6,15,3
2N1 S (H),,P4_30,6,15,5
3+,,1,2,5,-10
3+,,3,2,5,76
3+,,4,2,5,-11
3+,,6,2,5,267
3+,,22,2,5,10
3+,,27,2,5,255
3+,,30,2,5,209
3+,,33,2,5,367
3+,,51,2,5,1
3+,,280,2,5,4
3+,,613,2,5,353
3+,,99J,2,5,163
3+,,F14_24,2,5,32
3+,,F18_22,2,5,278
3+,,F4_350,2,5,17
3+,,M30_144,2,5,147
3+,,M99J_350,2,5,402
3+,,P18_22,2,5,55
3+,,P1B_130,2,5,249
3+,,P1B_144,2,5,184
3+,,P1B_27,2,5,2
3+,,P1B_30,2,5,1
3+,,P1B_33,2,5,-1
3+,,P1B_350,2,5,299
3+,,P1B_613,2,5,34
3+,,P1B_99J,2,5,188
3+,,P1B_BG,2,5,363
3+,,P27_613,2,5,61
3+,,P30_144,2,5,82
3+,,P30_33,2,5,175
3+,,P30_350,2,5,303
3+,,P4_30,2,5,41
3+,,T1B_144,2,5,141
3+,,T1B_27,2,5,12
3+,,T1B_30,2,5,147
3+,,T1B_33,2,5,60
3+,,T1B_BG,2,5,295
AARU,,1,9,20,176
AARU,,001B,9,20,149
AARU,,2,9,20,67
AARU,,4,9,20,64
AARU,,DX2216,9,20,61
AARU,,DX3147,9,20,69
AARU,,DX4130,9,20,92
AARU,,DX4145,9,20,92
AARU,,F1B_30,9,20,101
AARU,,F1B_33,9,20,127
AARU,,F4_30,9,20,91
ABBY,,1,5,12,34
ABBY,,001B,5,12,19
ABBY,,2,5,12,12
ABBY,,4,5,12,16
ABBY,,F1B_30,5,12,1
ABBY,,F1B_33,5,12,1
ABBY,,F237,5,12,36
ABBY,,F4_27,5,12,33
ABBY,,F4_30,5,12,0
ABBY,,P27_613,5,12,6
AFRO COM,,1,3,5,0
AFRO COM,,001B,3,5,0
AFRO COM,,2,3,5,47
AFRO COM,,4,3,5,1
AFRO COM,,P1B_27,3,5,31
AFRO COM,,P1B_30,3,5,112
AFRO COM,,P1B_33,3,5,32
AFRO COM,,P1B_BG,3,5,42
AFRO COM,,P30_144,3,5,40
AFRO COM,,P4_30,3,5,24
AFRO T,,1,2,4,2
AFRO T,,001B,2,4,2
AFRO T,,2,2,4,0
AFRO T,,4,2,4,5
AFRO T,,F1B_27,2,4,36
AFRO T,,F1B_30,2,4,14
AFRO T,,F1B_33,2,4,18
AFRO T,,F1B_99J,2,4,92
AFRO T,,F1B_BG,2,4,64
AFRO T,,F27_613,2,4,100
AFRO T,,F4_27,2,4,84
ALINA SYN,,,41,3,42673
ANDREA,,1,5,14.5,20
ANDREA,,001B,5,14.5,19
ANDREA,,2,5,14.5,16
ANDREA,,4,5,14.5,34
ANDREA,,DYS27_30_33,5,14.5,38
ANDREA,,F1010,5,14.5,36
ANDREA,,F1B_30,5,14.5,0
ANDREA,,F1B_33,5,14.5,44
ANDREA,,F4_30,5,14.5,16
ANDREA,,L209H_216H,5,14.5,59
ANDREA,,P2_145B,5,14.5,63
ANGELINA,,1,5,11.5,1
ANGELINA,,001B,5,11.5,1
ANGELINA,,2,5,11.5,4
ANGELINA,,DML1B_33B_35A,5,11.5,0
ANGELINA,,DML27_26C_24D,5,11.5,0
ANGELINA,,F1B_30,5,11.5,-4
ANGELINA,,F4_30,5,11.5,1
ANGELINA,,LXMD33_30_27,5,11.5,0
ANNA,,1,5,11.5,64
ANNA,,001B,5,11.5,63
ANNA,,2,5,11.5,79
ANNA,,DML1B_33B_35A,5,11.5,83
ANNA,,DML27_26C_24D,5,11.5,70
ANNA,,F1B_30,5,11.5,67
ANNA,,F4_30,5,11.5,81
ANNA,,LXMD33_30_27,5,11.5,71
BARBARA,,1,9,21,35
BARBARA,,001B,9,21,16
BARBARA,,2,9,21,11
BARBARA,,4,9,21,30
BARBARA,,HL2_27S,9,21,23
BARBARA,,HL2_350,9,21,17
BARBARA,,HL2_613,9,21,11
BARBARA,,HL2_BG,9,21,13
BARBARA,,HL4_27,9,21,10
BARBARA,,TTL1B_30,9,21,7
BARBARA,,TTL1B_33,9,21,33
BARU,,1,9,20,21
BARU,,001B,9,20,40
BARU,,2,9,20,11
BARU,,4,9,20,0
BARU,,34,9,20,12
BARU,,280,9,20,8
BARU,,DX2216,9,20,29
BARU,,DX3147,9,20,24
BARU,,DX4130,9,20,59
BARU,,DX4145,9,20,32
BARU,,F1B_30,9,20,28
BARU,,F1B_33,9,20,41
BARU,,F4_30,9,20,1
BECKY,,1,9,27,3
BECKY,,001B,9,27,0
BECKY,,2,9,27,8
BECKY,,4,9,27,11
BECKY,,HL2_27S,9,27,4
BECKY,,HL2_350,9,27,6
BECKY,,HL2_613,9,27,11
BECKY,,HL2_BG,9,27,10
BECKY,,HL4_27,9,27,5
BECKY,,TTL1B_30,9,27,1
BECKY,,TTL1B_33,9,27,7
BINGO21,,27,3,4,11
BINGO21,,30,3,4,1
BINGO21,,33,3,4,2
BINGO21,,F18_22,3,4,41
BINGO21,,M30_144,3,4,80
BINGO21,,P18_22,3,4,44
BINGO21,,P1B_130,3,4,45
BINGO21,,P1B_144,3,4,10
BINGO21,,P1B_27,3,4,19
BINGO21,,P1B_33,3,4,232
BINGO21,,P1B_99J,3,4,74
BINGO21,,P1B_BG,3,4,2
BINGO21,,P27_613,3,4,269
BINGO21,,P4_8,3,4,93
BINGO21,,T1B_144,3,4,51
BINGO21,,T1B_BG,3,4,75
BNH14,,NC,13,32,0
BNH16,,NC,13,36,0
BNH18,,NC,13,43,0
BNH20,,NC,13,56,0
BNH22,,NC,13,66,21
BNH24,,NC,13,76,0
BNH26,,NC,13,82,61
BOA,,1,5,12,11
BOA,,001B,5,12,24
BOA,,2,5,12,0
BOA,,4,5,12,28
BOA,,34,5,12,10
BOA,,44,5,12,5
BOA,,51,5,12,1
BOA,,280,5,12,4
BOA,,F1B_27,5,12,-1
BOA,,F1B_30,5,12,1
BOA,,F1B_33,5,12,16
BOA,,F237,5,12,57
BOA,,P27_613,5,12,10
BOBBY,,1,5,12.5,0
BOBBY,,001B,5,12.5,1
BOBBY,,2,5,12.5,0
BOBBY,,4,5,12.5,0
BOBBY,,62M,5,12.5,9
BOBBY,,F1B_30,5,12.5,1
BOBBY,,F1B_33,5,12.5,25
BOBBY,,F237,5,12.5,3
BOBBY,,F4_27,5,12.5,-1
BOBBY,,F4_30,5,12.5,13
BOBBY,,P27_613,5,12.5,2
BOBBY,,ST317,5,12.5,0
BOBBY,,ST321,5,12.5,1
BOBO (WIG1),,P1B_30,3,0,32
BOBO (WIG2),,P30_144,3,0,45
BOBO (WIG3),,T4_27,3,0,39
BODY WAV,,1,3,4,43
BODY WAV,,001B,3,4,23
BODY WAV,,2,3,4,13
BODY WAV,,4,3,4,33
BODY WAV,,P1B_27,3,4,0
BODY WAV,,P1B_30,3,4,6
BODY WAV,,P1B_33,3,4,17
BODY WAV,,P1B_350,3,4,0
BODY WAV,,P1B_BG,3,4,0
BODY WAV,,P27_613,3,4,0
BODY WAV,,P30_144,3,4,19
BODY WAV,,P4_30,3,4,19
BODY WAV(1),,1,3,0,45
BODY WAV(2),,P27_613,3,0,28
BODY WAV(3),,P4_30,3,0,33
BONITA,,1,9,92,3
BONITA,,001B,9,92,10
BONITA,,2,9,92,2
BONITA,,4,9,92,16
BONITA,,F1B_27S,9,92,4
BONITA,,F1B_30,9,92,9
BONITA,,F1B_33,9,92,13
BONITA,,F4_30,9,92,9
BONITA,,P27_613,9,92,5
BOX OF WIGS,,,5,300,7
BRANDI,,1,5,20,0
BRANDI,,001B,5,20,0
BRANDI,,2,5,20,0
BRANDI,,4,5,20,-1
BRANDI,,F1B_30,5,20,0
BRANDI,,F1B_33,5,20,-10
BRANDI,,F237,5,20,0
BRANDI,,F4_27,5,20,0
BRANDI,,F4_30,5,20,0
BRANDI,,P27_613,5,20,0
BRD,,1,7,0.45,-913
BRD,,001B,7,0.45,160
BRD,,2,7,0.45,0
BRD,,4,7,0.45,0
BRD,,6,7,0.45,0
BRD,,27,7,0.45,-10
BRD,,30,7,0.45,-10
BRD,,33,7,0.45,0
BRD,,34,7,0.45,617
BRD,,60,7,0.45,69
BRD,,144,7,0.45,0
BRD,,280,7,0.45,1085
BRD,,613,7,0.45,-10
BRD,,BLUE,7,0.45,0
BRD,,BURG,7,0.45,0
BRD,,GREEN,7,0.45,8
BRD,,ORANGE,7,0.45,13
BRD,,P1B_27,7,0.45,0
BRD,,P1B_30,7,0.45,2
BRD,,P1B_33,7,0.45,1
BRD,,P1B_BG,7,0.45,0
BRD,,P30_144,7,0.45,1
BRD,,PINK,7,0.45,1
BRD,,PURPLE,7,0.45,-1
BRD,,RED,7,0.45,0
BRD T,,1,2,6,11
BRD T,,001B,2,6,5
BRD T,,2,2,6,9
BRD T,,99J,2,6,2
BRD T,,P1B_27,2,6,-1
BRD T,,P1B_350,2,6,15
BRD T,,P1B_99J,2,6,-2
BRD T,,P1B_BG,2,6,0
BRD T,,P30_144,2,6,4
BROOKE,,1,5,12,19
BROOKE,,001B,5,12,9
BROOKE,,2,5,12,9
BROOKE,,4,5,12,40
BROOKE,,DYS27_30_33,5,12,47
BROOKE,,F1010,5,12,39
BROOKE,,F1B_30,5,12,3
BROOKE,,F1B_33,5,12,36
BROOKE,,F4_30,5,12,14
BROOKE,,L209H_216H,5,12,51
BROOKE,,P2_145B,5,12,50
CARA,,1,5,11,24
CARA,,001B,5,11,8
CARA,,2,5,11,13
CARA,,4,5,11,-1
CARA,,F1010,5,11,13
CARA,,F1B_30,5,11,14
CARA,,F1B_33,5,11,3
CARA,,F4_30,5,11,9
CAROL,,1,5,12.5,98
CAROL,,001B,5,12.5,93
CAROL,,2,5,12.5,80
CAROL,,DGF1B_33B_35A_350B,5,12.5,66
CAROL,,DGF5_27_26C_24D,5,12.5,68
CAROL,,F1B_30,5,12.5,70
CAROL,,F4_30,5,12.5,74
CAROL,,LXMD33_30_27,5,12.5,69
CHERI,,1,5,11.5,12
CHERI,,001B,5,11.5,46
CHERI,,2,5,11.5,26
CHERI,,F1B_30,5,11.5,37
CHERI,,F4_30,5,11.5,24
CHERI,,LYTT1B_RWINE,5,11.5,-4
CHERI,,LYTT2_340A,5,11.5,15
CHERI,,LYTT6_27E,5,11.5,5
CHLOE,,1,5,12.5,17
CHLOE,,001B,5,12.5,32
CHLOE,,2,5,12.5,5
CHLOE,,F1B_30,5,12.5,29
CHLOE,,F4_30,5,12.5,46
CHLOE,,LYTT1B_RWINE,5,12.5,2
CHLOE,,LYTT2_340A,5,12.5,3
CHLOE,,LYTT6_27E,5,12.5,31
CLAS T,,1,2,3.5,445
CLAS T,,001B,2,3.5,260
CLAS T,,2,2,3.5,93
CLAS T,,4,2,3.5,2
CLAS T,,280,2,3.5,2
CLAS T,,P1B_144,2,3.5,13
CLAS T,,P1B_30,2,3.5,112
CLAS T,,P1B_33,2,3.5,31
CLAS T,,P1B_350,2,3.5,198
CLAS T,,P1B_99J,2,3.5,80
CLAS T,,P1B_BG,2,3.5,232
CLAS T,,P27_613,2,3.5,1
CLIP100,,T1B_144,2,3,17
CLIP100,,T80,2,3,20
COURTNEY,,1,5,11.5,0
COURTNEY,,001B,5,11.5,-1
COURTNEY,,2,5,11.5,12
COURTNEY,,4,5,11.5,21
COURTNEY,,DYS27_30_33,5,11.5,14
COURTNEY,,F1010,5,11.5,26
COURTNEY,,F1B_30,5,11.5,7
COURTNEY,,F1B_33,5,11.5,11
COURTNEY,,F4_30,5,11.5,0
COURTNEY,,L209H_216H,5,11.5,18
COURTNEY,,P2_145B,5,11.5,16
CR,,,0,0,2102
CRIMP,,1,3,4.5,78
CRIMP,,001B,3,4.5,57
CRIMP,,2,3,4.5,10
CRIMP,,4,3,4.5,40
CRIMP,,P1B_27,3,4.5,5
CRIMP,,P1B_30,3,4.5,3
CRIMP,,P1B_33,3,4.5,13
CRIMP,,P1B_BG,3,4.5,19
CRIMP,,P27_613,3,4.5,30
CRIMP,,P30_144,3,4.5,19
CRIMP (WIG1),,P1B_30,3,0,14
CRIMP (WIG2),,P1B_130,3,0,24
CRIMP (WIG3),,TT1B_27,3,0,28
DANDY,,1,9,19,33
DANDY,,001B,9,19,33
DANDY,,2,9,19,13
DANDY,,4,9,19,12
DANDY,,34,9,19,0
DANDY,,44,9,19,7
DANDY,,51,9,19,2
DANDY,,280,9,19,5
DANDY,,F1B_27S,9,19,18
DANDY,,F1B_30,9,19,16
DANDY,,F1B_33,9,19,17
DANDY,,F1B_BG,9,19,69
DANDY,,F237,9,19,8
DANDY,,T1B_130,9,19,10
DANDY,,T1B_99J,9,19,18
DANDY,,T1B_BG,9,19,119
DARCI,,1,5,14,12
DARCI,,001B,5,14,18
DARCI,,2,5,14,20
DARCI,,4,5,14,26
DARCI,,F1B_30,5,14,4
DARCI,,F1B_33,5,14,8
DARCI,,F237,5,14,20
DARCI,,F4_27,5,14,19
DARCI,,F4_30,5,14,19
DARCI,,P27_613,5,14,7
DARU,,1,9,20,27
DARU,,001B,9,20,43
DARU,,2,9,20,30
DARU,,4,9,20,17
DARU,,34,9,20,22
DARU,,280,9,20,28
DARU,,DX2216,9,20,12
DARU,,DX3147,9,20,10
DARU,,DX4130,9,20,0
DARU,,DX4145,9,20,1
DARU,,DYTT3_68R,9,20,32
DARU,,F1B_30,9,20,25
DARU,,F1B_33,9,20,8
DARU,,F4_30,9,20,24
DIAMOND,,1,9,106,75
DIAMOND,,001B,9,106,44
DIAMOND,,2,9,106,4
DIAMOND,,4,9,106,14
DIAMOND,,613,9,106,0
DIAMOND,,F1B_27S,9,106,52
DIAMOND,,F1B_30,9,106,88
DIAMOND,,F1B_33,9,106,66
DIAMOND,,F1B_99J,9,106,8
DIAMOND,,F237,9,106,50
DIAMOND,,F4_27,9,106,68
DIAMOND,,F4_30,9,106,5
DIAMOND,,P27_613,9,106,17
DISCO L,,1,3,4,0
DISCO L,,001B,3,4,23
DISCO L,,2,3,4,28
DISCO L,,4,3,4,0
DISCO L,,27,3,4,3
DISCO L,,30,3,4,6
DISCO L,,33,3,4,0
DISCO L,,P1B_130,3,4,0
DISCO L,,P1B_27,3,4,9
DISCO L,,P1B_30,3,4,27
DISCO L,,P1B_33,3,4,28
DISCO L,,P1B_350,3,4,0
DISCO L,,P1B_99J,3,4,14
DISCO L,,P1B_BG,3,4,0
DISCO L,,P27_613,3,4,42
DISCO L,,P30_144,3,4,47
DISCO L,,TT4_27.,3,4,37
DISCO L(1),,P1B_30,3,0,14
DISCO L(2),,P30_144,3,0,28
DISCO L(3),,TT4_27,3,0,24
DISCO T,,1,2,4.5,0
DISCO T,,001B,2,4.5,-1
DISCO T,,2,2,4.5,0
DISCO T,,4,2,4.5,-1
DISCO T,,2F350,2,4.5,109
DISCO T,,P1B_130,2,4.5,169
DISCO T,,P1B_27,2,4.5,0
DISCO T,,P1B_30,2,4.5,0
DISCO T,,P1B_33,2,4.5,0
DISCO T,,P1B_99J,2,4.5,53
DISCO T,,P1B_BG,2,4.5,1
DISCO T,,P27_613,2,4.5,136
DISCO T,,P30_144,2,4.5,126
DODO,,1,3,4,114
DODO,,001B,3,4,25
DODO,,2,3,4,182
DODO,,4,3,4,90
DODO,,27,3,4,45
DODO,,30,3,4,64
DODO,,33,3,4,80
DODO,,M99J_350,3,4,35
DODO,,P1B_144,3,4,78
DODO,,P1B_27,3,4,2
DODO,,P1B_30,3,4,30
DODO,,P1B_33,3,4,2
DODO,,P1B_99J,3,4,79
DODO,,P1B_BG,3,4,0
DODO,,P27_613,3,4,48
DODO,,P30_144,3,4,218
DODO,,P4_30,3,4,2
DODO,,P4_8,3,4,18
DODO,,T1B_144,3,4,5
DODO,,T1B_27,3,4,42
DODO,,T1B_BG,3,4,38
DODO T,,1,2,5.25,-1
DODO T,,001B,2,5.25,0
DODO T,,2,2,5.25,4
DODO T,,4,2,5.25,-1
DODO T,,27,2,5.25,5
DODO T,,30,2,5.25,3
DODO T,,33,2,5.25,26
DODO T,,280,2,5.25,2
DODO T,,99J,2,5.25,34
DODO T,,M99J_350,2,5.25,62
DODO T,,P1B_144,2,5.25,0
DODO T,,P1B_27,2,5.25,-3
DODO T,,P1B_30,2,5.25,-2
DODO T,,P1B_33,2,5.25,2
DODO T,,P1B_350,2,5.25,3
DODO T,,P1B_99J,2,5.25,81
DODO T,,P1B_BG,2,5.25,3
DODO T,,P27_613,2,5.25,7
DODO T,,P30_144,2,5.25,23
DODO T,,P30_350,2,5.25,50
DODO T,,T1B_144,2,5.25,47
DODO T,,T1B_27,2,5.25,4
DODO T,,T1B_30,2,5.25,-1
DODO T,,T1B_33,2,5.25,2
DODO T,,T1B_BG,2,5.25,0
DODO T,,T4_118_144,2,5.25,86
DORA,,1,5,10,-1
DORA,,001B,5,10,-1
DORA,,2,5,10,0
DORA,,4,5,10,0
DORA,,62M,5,10,1
DORA,,F1B_30,5,10,0
DORA,,F1B_33,5,10,0
DORA,,F2_27,5,10,0
DORA,,F237,5,10,0
DORA,,F4_30,5,10,0
DORA,,PG5L_207,5,10,-1
DORA,,SPF62M,5,10,-1
DORA,,ST319,5,10,0
DORA,,ST321,5,10,0
DP TAIL,,30,2,4.5,0
DP TAIL,,33,2,4.5,32
DP TAIL,,280,2,4.5,4
DP TAIL,,F18_22,2,4.5,157
DP TAIL,,F4_30,2,4.5,32
DP TAIL,,F4_350,2,4.5,9
DP TAIL,,M3014,2,4.5,19
DP TAIL,,P1B_130,2,4.5,221
DP TAIL,,P1B_144,2,4.5,77
DP TAIL,,P1B_27,2,4.5,0
DP TAIL,,P1B_33,2,4.5,-4
DP TAIL,,P1B_99J,2,4.5,110
DP TAIL,,P1B_BG,2,4.5,4
DP TAIL,,P4_8,2,4.5,182
DP TAIL,,T1B_144,2,4.5,85
DP TAIL,,T1B_33,2,4.5,14
DP TAIL,,T1B_BG,2,4.5,98
DP TAIL,,T2_33,2,4.5,7
DREAD T,,1,2,4,23
DREAD T,,001B,2,4,16
DREAD T,,2F350,2,4,20
DREAD T,,T2_27,2,4,2
DREAD T,,T2_30,2,4,62
DREAD T,,T2_33,2,4,6
DREAD T,,T2_BG,2,4,14
DUBI,,1,5,13,59
DUBI,,001B,5,13,34
DUBI,,2,5,13,69
DUBI,,4,5,13,42
DUBI,,24-27,5,13,4
DUBI,,3T27,5,13,8
DUBI,,3T332,5,13,9
DUBI,,4007,5,13,24
DUBI,,612,5,13,24
DUBI,,F1B_30,5,13,7
DUBI,,F237,5,13,24
DUBI,,F4_30,5,13,3
ELEGANT LADY,,1,3,5,29
ELEGANT LADY,,001B,3,5,31
ELEGANT LADY,,2,3,5,72
ELEGANT LADY,,4,3,5,64
ELEGANT LADY,,27,3,5,15
ELEGANT LADY,,30,3,5,16
ELEGANT LADY,,33,3,5,16
ELEGANT LADY,,613,3,5,0
ELEGANT LADY,,F1B_27,3,5,40
ELEGANT LADY,,F1B_30,3,5,80
ELEGANT LADY,,F1B_33,3,5,72
ELEGANT LADY,,F1B_350,3,5,59
ELEGANT LADY,,F27_613,3,5,3
ELEGANT LADY,,F30_33,3,5,12
ELEGANT LADY,,F4_27,3,5,22
ELEGANT LADY,,F4_30,3,5,91
ELEGANT LADY,,TT1B_27,3,5,11
ELEGANT LADY,,TT1B_30,3,5,16
ELEGANT LADY,,TT1B_33,3,5,28
ELEGANT LADY,,TT1B_350,3,5,10
ELLEN,,1,5,11,143
ELLEN,,001B,5,11,133
ELLEN,,2,5,11,106
ELLEN,,F1B_30,5,11,98
ELLEN,,F4_30,5,11,96
ELLEN,,LYTT1B_RWINE,5,11,96
ELLEN,,LYTT2_340A,5,11,99
ELLEN,,LYTT6_27E,5,11,98
EMILY,,1,5,11.5,90
EMILY,,001B,5,11.5,84
EMILY,,2,5,11.5,92
EMILY,,F1B_30,5,11.5,71
EMILY,,F4_30,5,11.5,82
EMILY,,ZYF8_27_24D,5,11.5,89
EMILY,,ZYF8A_30_27,5,11.5,86
EMILY,,ZYF8A_35B_130E,5,11.5,80
EMMA,,1,5,11,91
EMMA,,001B,5,11,72
EMMA,,2,5,11,63
EMMA,,F1B_30,5,11,50
EMMA,,F4_30,5,11,55
EMMA,,ZYF8_27_24D,5,11,70
EMMA,,ZYF8A_30_27,5,11,60
EMMA,,ZYF8A_35B_130E,5,11,74
ESTHER,,1,9,58,20
ESTHER,,001B,9,58,29
ESTHER,,2,9,58,0
ESTHER,,4,9,58,9
ESTHER,,F1B_27S,9,58,4
ESTHER,,F1B_30,9,58,16
ESTHER,,F1B_33,9,58,9
ESTHER,,F1B_BG,9,58,21
ESTHER,,F4_30,9,58,4
ESTHER,,P27_613,9,58,0
ESTHER,,PT4_30_33,9,58,31
ESTHER,,TT1B_27,9,58,48
ESTHER,,TT1B_30,9,58,32
ESTHER,,TT1B_33,9,58,46
ESTHER,,TT1B_BG,9,58,54
EVE,,1,5,14,21
EVE,,001B,5,14,116
EVE,,2,5,14,14
EVE,,4,5,14,66
EVE,,613,5,14,0
EVE,,F1B_27,5,14,5
EVE,,F1B_30,5,14,89
EVE,,F1B_33,5,14,91
EVE,,F1B_350,5,14,7
EVE,,F237,5,14,78
EVE,,F4_30,5,14,84
EVE,,P27_613,5,14,0
EVE HH,,1,9,110,1
EVE HH,,001B,9,110,20
EVE HH,,2,9,110,18
EVE HH,,4,9,110,14
EVE HH,,P1B_30,9,110,19
EVE HH,,P27_613,9,110,0
EVE HH,,P4_27,9,110,6
EVE HH,,P4_30,9,110,25
FANCY,,1,3,4,0
FANCY,,001B,3,4,167
FANCY,,2,3,4,228
FANCY,,4,3,4,60
FANCY,,33,3,4,21
FANCY,,P1B_BG,3,4,58
FANCY,,P27_613,3,4,32
FANCY,,P30_144,3,4,-1
FOX,,1,5,14,30
FOX,,001B,5,14,22
FOX,,2,5,14,41
FOX,,4,5,14,54
FOX,,DYL118A_JACINTH,5,14,17
FOX,,DYL530A_1120,5,14,29
FOX,,DYL8A_27E,5,14,10
FOX,,F1B_30,5,14,19
FOX,,F4_30,5,14,30
FOX,,PI30D_26B,5,14,32
FOXY T,,1,2,4,30
FOXY T,,001B,2,4,26
FOXY T,,2,2,4,24
FOXY T,,4,2,4,31
FOXY T,,F1B_27,2,4,101
FOXY T,,F1B_30,2,4,141
FOXY T,,F1B_33,2,4,87
FOXY T,,F1B_350,2,4,121
FOXY T,,F1B_99J,2,4,106
FOXY T,,T1B_27,2,4,41
FOXY T,,T1B_30,2,4,32
FOXY T,,T1B_33,2,4,40
