PRODUCT_CODE,USER_ID,SUPPLIER_CODE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY,PRODUCT_NAME,IMAGES,HAIR_TYPE,HAIR_TYPE_LENGTH,HAIR_TYPE_STYLE,QUANTITY,QUANTITY_TYPE,MANUFACTURE_PRICE,WHOLESALE_PRICE,MSRP_PRICE,DISCOUNT_OPTION_CHECK,DISCOUNT_OPTION_VALUE,SPECIAL_PROMOTION_CHECK,SPECIAL_PROMOTION_VALUE,DELIVERY_TIME,DROPSHIP,SHIPPING_METHOD,SHIPPING_PRICE,PLACE_ORIGIN,PACKAGE_WEIGHT,PACKAGE_UNIT,DESCRIPTION,PRODUCT_SEEN,SKU,LENGTH,COLOR,PRICE,STOCK,MPRICE,WPRICE,RPRICE,LENGTH_SIZE,MIN_QUANTITY
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,1,T1B-30,21,12,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,001B,T1B-30,21,9,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,2,T1B-30,21,0,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,4,T1B-30,21,0,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,34,T1B-30,21,6,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,44,T1B-30,21,8,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,51,T1B-30,21,6,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,280,T1B-30,21,5,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,F1B-27S,T1B-30,21,14,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,F1B-30,T1B-30,21,13,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,F1B-33,T1B-30,21,13,1,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,F237,T1B-30,21,8,1,,,,2.08E+13,1
JANE H,55,info@sinahair.com,WIG,Human Wig,,JANE H,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16,JANE H,,1,34,0,,,,Inch,1
JENIF H,55,info@sinahair.com,WIG,Human Wig,,JENIF H,1434574348jennifer hh.jpg ,,,,100,Pieces,41,41,123,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig Jennifer HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16,,,,,,,,,,1
JULIE H,55,info@sinahair.com,WIG,Human Wig,,JULIE H,1434643688julie.jpg ,,,,96,Pieces,98,98,294,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig Julie H</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",22,,,,,,,,,,1
JULIE H II,55,info@sinahair.com,WIG,Human Wig,,JULIE H II,1434652630julie II.jpg ,,,,97,Pieces,51,51,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig Julie II</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",32,JULIE H II,10,1,51,8,,,,Inch,1
KASSIA,55,info@sinahair.com,WIG,Human Wig,,KASSIA,1434694662kassia.jpg ,,,,94,Pieces,66,66,122,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p>Silhouette H.H. Wig Kassia</p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty indust</li>
</ul>
",28,KASSIA,,1,66,18,,,,Inch,1
LACE-001,55,info@sinahair.com,LACE WIG,Whole Lace Wigs,,LACE-001,"1434695120lace001.jpg ,1434695120fulllacewig_INSIDE.jpg ,1434695120fulllacewig_close.jpg ,1434695120fulllacewig.jpg ",,,,100,Pieces,350,350,700,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><span style=""color:rgb(47, 49, 53); font-family:arial,helvetica,sans-serif; font-size:13px""><strong>SILKY FULL LACE WIG LACE 001<br />
100% REMY HAIR</strong><br />
<strong>DESCRIPTION:</strong></span><span style=""color:rgb(47, 49, 53); font-family:arial,helvetica,sans-serif; font-size:13px"">&nbsp;100% hand-tied from base to finishing / Indisputably natural &amp; free-flowing hair / Freedom to part in any direction / Moves &amp; handles like your own hair / Unprocessed hair performs beautifully with color, perm, and bleach processing / Lavish yourself with the purest form of natural hair that possesses the most extravagant detail. Experience a new level of craftsmanship with 100% hand-knotted hair in the healthiest &amp; the most optimized form that performs beautifully like your own hair. A true masterpiece from the base to the finishing, each and every product is handled individually. Every stand of hair is selected adhering to the highest standard of quality, then tied strand by",73,LACE-001,,1,350,6,,,,Inch,1
LACE-002,55,info@sinahair.com,LACE WIG,Whole Lace Wigs,,LACE-002,"1434695507lace002.jpg ,1434695507fulllacewig_close.jpg ,1434695507fulllacewig_INSIDE.jpg ,1434695507fulllacewig.jpg ",,,,98,Pieces,350,350,700,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><span style=""background-color:rgb(245, 245, 245); color:rgb(47, 49, 53); font-family:arial,helvetica,sans-serif; font-size:13px"">YAKY FULL LACE WIG LACE-002&nbsp;<br />
<strong>100% REMY HAIR</strong><br />
<strong>DESCRIPTION:</strong></span><span style=""background-color:rgb(245, 245, 245); color:rgb(47, 49, 53); font-family:arial,helvetica,sans-serif; font-size:13px"">&nbsp;100% hand-tied from base to finishing / Indisputably natural &amp; free-flowing hair / Freedom to part in any direction / Moves &amp; handles like your own hair / Unprocessed hair performs beautifully with color, perm, and bleach processing / Lavish yourself with the purest form of natural hair that possesses the most extravagant detail. Experience a new level of craftsmanship with 100% hand-knotted hair in the healthiest &amp; the most optimized form that performs beautifully like your own hair. A true masterpiece from the base to the finishing, each and every product is handled individually. Every stand of ha",72,LACE-002,,1,350,17,,,,Inch,1
LACE-004,55,info@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-004,1434696037lace004.jpg ,,,,100,Pieces,150,150,300,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 004</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig",26,LACE-004,,1,150,2,,,,Inch,1
LACE-006,55,info@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-006,1434696479lace006.jpg ,,,,31,Pieces,150,150,300,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 006</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig",28,LACE-006,,1,150,0,,,,Inch,1
test111,55,info@sinahair.com,BEAUTY,Skin Care,,test111,"1435123087images (1).jpg ,670px-Draw-Shampoo-Step-1.jpg","human hair,synthetic hair,remy hair,human hair blant",long,"bob cut,layered cut,loose body cut,loose deep cut,small wave,sprial curl,straight",200,Pieces,10,10,15,0,,0,,2nd Shipping,Yes,UPS,2,USA,1,g,tetsttst1<br>,20,test,,2,100,100,,,,,1
LACE-007,55,info@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-007,1435603836lace007.jpg ,,,,100,Pieces,190,190,570,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 007</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wi&",19,LACE-007,,1,190,9,,,,Inch,1
LACE-008,55,info@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-008,1435604039lace008.jpg ,,,,100,Pieces,150,150,300,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 008</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig",13,LACE-008,,1,150,4,,,,Inch,1
LACE-009,55,info@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-009,1435604293lace009.jpg ,,,,100,Pieces,150,150,300,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 009</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig",13,LACE-009,,1,150,4,,,,Inch,1
LACE-010,55,info@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-010,1435604445lace010.jpg ,,,,100,Pieces,70,70,140,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 010</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig",16,LACE-010,,1,70,55,,,,Inch,1
LACE-011,55,info@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-011,1435604590lace011.jpg ,remy hair,,straight,100,Pieces,80,80,160,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 006</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig",14,LACE-011,,1,80,1,,,,Inch,1
LINSEY,55,info@sinahair.com,WIG,Human Wig,,LINSEY,1435605030linsey.jpg ,,,,100,Pieces,21,21,42,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Human Hair Wig LINSEY</strong></p>

<ul>
	<li>
	<p>100% Human Hair</p>

	<p><strong>Real. Style. And Luxury.</strong><br />
	These wigs capture the essentials that are necessary to achieve a seem-less and natural look. It is a look and feel to call your own. Silhouette offers many different styles, textures and colors to quench all varying tastes and style preferences.</p>
	</li>
</ul>
",14,LINSEY,,1,21,10,,,,Inch,1
LISA,55,info@sinahair.com,WIG,Human Wig,,LISA,1435605430lisa.jpg ,human hair,,loose body cut,100,Pieces,21,21,42,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Human Hair Wig Lisa</strong></p>

<ul>
	<li>
	<p>100% Human Hair</p>

	<p><strong>Real. Style. And Luxury.</strong><br />
	These wigs capture the essentials that are necessary to achieve a seem-less and natural look. It is a look and feel to call your own. Silhouette offers many different styles, textures and colors to quench all varying tastes and style preferences.</p>
	</li>
</ul>
",14,LISA,,1,35,1,,,,Inch,1
MARU,55,info@sinahair.com,WIG,Human Wig,,MARU,"1435605688maru.jpg ,1435605688maru_b.jpg ,1435605688maru_f.jpg ,1435605688maru_s.jpg ",,bob,,100,Pieces,20,20,40,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Human Hair Wig Daru</strong></p>

<ul>
	<li>
	<p>High Quality 100% Remy Hair</p>

	<p><strong>Hair That. Moves. With You.</strong><br />
	The Debut Indian Remy Wig Collection is a high quality collection of Human Wig. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectable natural look that is smooth and manageable.&nbsp;</p>
	</li>
</ul>
",29,MARU,,1,20,-1,,,,Inch,1
shop_1,55,info@sinahair.com,HAIR PIECE ,Dome/Bun,,shop_1,1438234109christmas-shopping-wallpapers_16324_1680x1050.jpg ,synthetic hair,long,loose body cut,1,Pieces,150,170,190,0,,0,,2nd Shipping,Yes,UPS,5,India,1,g,"<p>test</p>
",18,shop_ab,,4,100,80,,,,Inch,1
ESTHER11,55,info@sinahair.com,WIG,Human Wig,,ESTHER11,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,35,ESTHER,,TT1B-BG,100,54,,,,,1
ESTHER1,55,info@sinahair.com,WIG,Human Wig,,ESTHER1,1448264562bd.jpg,,,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,79,ESTHER1,,TT1B-BG,100,54,,,,,1
ESTHER120,55,info@sinahair.com,WIG,,,ESTHER120,images (1).jpg,,,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17,ESTHER120,,F4-30,100,80,,,,,
ESTHER120,55,info@sinahair.com,WIG,,,ESTHER120,images (1).jpg,,,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17, ESTHER120,,F4-30,100,80,,,,,
ESTHER123,55,info@sinahair.com,WIG,,,ESTHER123,images (1).jpg,,,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,21,ESTHER123,,F4-30,100,80,,,,,
ESTHER115,55,info@sinahair.com,WIG,,,ESTHER115,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,long,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,18,ESTHER115,,TT1B-BG,0,25,,,,,
ESTHER115,55,info@sinahair.com,WIG,,,ESTHER115,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,long,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,18, ESTHER115,,F4-30,100,20,,,,,
ESTHER115,55,info@sinahair.com,WIG,,,ESTHER115,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,long,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,18, ESTHER115,,1,100,20,,,,,
ESTHER115,55,info@sinahair.com,WIG,,,ESTHER115,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,long,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,18, ESTHER115,,001B,100,25,,,,,
ESTHER115,55,info@sinahair.com,WIG,,,ESTHER115,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,long,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,18, ESTHER115,,TT1B-33,100,20,,,,,
ESTHER115,55,info@sinahair.com,WIG,,,ESTHER115,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,long,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,18, ESTHER115,,2,100,30,,,,,
ESTHER118,55,info@sinahair.com,WIG,,,ESTHER118,images (1).jpg,,,,50,,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,24,ESTHER118,,F4-30,0,80,,,,,
