PRODUCT_CODE,USER_ID,SUPPLIER_CODE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY,PRODUCT_NAME,IMAGES,HAIR_TYPE,HAIR_TYPE_LENGTH,HAIR_TYPE_STYLE,QUANTITY,QUANTITY_TYPE,MANUFACTURE_PRICE,WHOLESALE_PRICE,MSRP_PRICE,DISCOUNT_OPTION_CHECK,DISCOUNT_OPTION_VALUE,SPECIAL_PROMOTION_CHECK,SPECIAL_PROMOTION_VALUE,DELIVERY_TIME,DROPSHIP,SHIPPING_METHOD,SHIPPING_PRICE,PLACE_ORIGIN,PACKAGE_WEIGHT,PACKAGE_UNIT,DESCRIPTION,PRODUCT_SEEN,SKU,LENGTH,COLOR,PRICE,STOCK,LENGTH_SIZE,MIN_QUANTITY
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,34,T1B-BG,19,0,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,44,T1B-BG,19,7,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,51,T1B-BG,19,2,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,280,T1B-BG,19,6,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,F1B-27S,T1B-BG,19,18,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,F1B-30,T1B-BG,19,17,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,F1B-33,T1B-BG,19,17,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,F1B-BG,T1B-BG,19,69,1,207627,1
DIAMOND,11,jane@sinahair.com,WIG,Human Hair Half Wigs,,DIAMOND,"1434572670diamond_613.jpg ,1434572670diamond_back.jpg ,1434572670diamond_side.jpg ,1434572670DIAMOND-2.jpg ",,,,72,Pieces,106,106,212,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Human Half Wig</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human hair<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Human Half Wig give you winning combination of the ease, beauty that full wig do and natural look of your own hair&nbsp;<br style=""margin: 0px; padding: 0px;"">1. Pull your hair back leaving some hair in front loose&nbsp;<br style=""margin: 0px; padding: 0px;"">2. Insert comb leaving loose hair free&nbsp;<br style=""margin: 0px; padding: 0px;"">3. Stretch 1/2 wig over your head and insert back comb&nbsp;<br style=""margin: 0px; padding: 0px;"">4. Comb loose front hair over and blend into 1/2 wig</li>",27,DIAMOND,,1,106,76,,1
ESTHER,11,jane@sinahair.com,WIG,Human Hair Wigs,,ESTHER,"1434572879esther.jpg ,1434572879esther_back.jpg ,1434572879esther_side2.jpg ,1434572879esther_side.jpg ",,,,99,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Esther</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",59,ESTHER,,TT1B-BG,100,54,,1
HARU,11,jane@sinahair.com,WIG,Human Hair Wigs,,HARU,"1434573427haru.jpg ,1434573427haru_front.jpg ,1434573427haru_b.jpg ,1434573427haru_s.jpg ",,,,100,Pieces,20,20,60,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Human Hair Wig Haru</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">High Quality 100% Remy Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Hair That. Moves. With You.</b><br style=""margin: 0px; padding: 0px;"">The Debut Indian Remy Wig Collection is a high quality collection of human hair wigs. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectable natural look that is smooth and manageable. The Remy process also brings tangling, matting, and shedding to a bare minimum.</p></li>",14,HARU,,1,20,22,,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,F4-30,,21,9,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,F4-30,,21,85,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,P1B-BG,,21,12,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,P1B-BG,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-30,,,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,1,T1B-30,21,12,,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,001B,T1B-30,21,9,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,2,T1B-30,21,0,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,4,T1B-30,21,0,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,34,T1B-30,21,6,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,44,T1B-30,21,8,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,51,T1B-30,21,6,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,280,T1B-30,21,5,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,F1B-27S,T1B-30,21,14,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,F1B-30,T1B-30,21,13,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,F1B-33,T1B-30,21,13,1,2.07627E+13,1
HELEN,11,HELEN,HELEN,HELEN,HELEN,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,,,,,,,,,2,F237,T1B-30,21,8,1,2.07627E+13,1
JADA,11,jane@sinahair.com,WIG,Human Hair Wigs,,JADA,"1434573782jada.jpg ,1434573782jada_back.jpg ,1434573782jada_f1b_30.jpg ,1434573782jada_side.jpg ",,,,100,Pieces,44,44,132,0,,0,,2nd Shipping,Yes,USPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Jada</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",9,JADA,,1,44,12,,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16,JANE H,,1,34,0,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,001B,34,2,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,2,34,0,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,4,34,0,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,6,34,40,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,8,34,2,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,F1B_30,34,0,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,F1B_33,34,-2,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,F237,34,6,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,M99J_350,34,0,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,P1B_144,34,72,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,P1B_27,34,57,Inch,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,Human,1434573954jane.jpg ,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig JANE HH</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",16, JANE H,,P1B_350,34,11,Inch,1
