PRODUCT_CODE,USER_ID,SUPPLIER_CODE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY,PRODUCT_NAME,IMAGE1,IMAGE2,IMAGE3,IMAGE4,HAIR_TYPE,HAIR_TYPE_LENGTH,HAIR_TYPE_STYLE,QUANTITY,QUANTITY_TYPE,MANUFACTURE_PRICE,WHOLESALE_PRICE,MSRP_PRICE,DISCOUNT_OPTION_CHECK,DISCOUNT_OPTION_VALUE,SPECIAL_PROMOTION_CHECK,SPECIAL_PROMOTION_VALUE,DELIVERY_TIME,DROPSHIP,SHIPPING_METHOD,SHIPPING_PRICE,PLACE_ORIGIN,PACKAGE_WEIGHT,PACKAGE_UNIT,DESCRIPTION,PRODUCT_SEEN,SKU1,SKU2,SKU3,SKU4,SKU5,SKU6,SKU7,SKU8,SKU9,SKU10,SKU11,SKU12,SKU13,SKU14,SKU15,SKU16,SKU17,SKU18,SKU19,SKU20,SKU21,SKU22,SKU23,SKU24,SKU25,LENGTH1,LENGTH2,LENGTH3,LENGTH4,LENGTH5,LENGTH6,LENGTH7,LENGTH8,LENGTH9,LENGTH10,LENGTH11,LENGTH12,LENGTH13,LENGTH14,LENGTH15,LENGTH16,LENGTH17,LENGTH18,LENGTH19,LENGTH20,LENGTH21,LENGTH22,LENGTH23,LENGTH24,LENGTH25,COLOR1,COLOR2,COLOR3,COLOR4,COLOR5,COLOR6,COLOR7,COLOR8,COLOR9,COLOR10,COLOR11,COLOR12,COLOR13,COLOR14,COLOR15,COLOR16,COLOR17,COLOR18,COLOR19,COLOR20,COLOR21,COLOR22,COLOR23,COLOR24,COLOR25,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10,PRICE11,PRICE12,PRICE13,PRICE14,PRICE15,PRICE16,PRICE17,PRICE18,PRICE19,PRICE20,PRICE21,PRICE22,PRICE23,PRICE24,PRICE25,STOCK1,STOCK2,STOCK3,STOCK4,STOCK5,STOCK6,STOCK7,STOCK8,STOCK9,STOCK10,STOCK11,STOCK12,STOCK13,STOCK14,STOCK15,STOCK16,STOCK17,STOCK18,STOCK19,STOCK20,STOCK21,STOCK22,STOCK23,STOCK24,STOCK25,LENGTH_SIZE,MIN_QUANTITY
HARU,11,jane@sinahair.com,WIG,Human Hair Wigs,,HARU,1434573427haru.jpg ,1434573427haru_front.jpg ,1434573427haru_b.jpg ,1434573427haru_s.jpg ,,,,100,Pieces,20,20,60,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Human Hair Wig Haru</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">High Quality 100% Remy Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Hair That. Moves. With You.</b><br style=""margin: 0px; padding: 0px;"">The Debut Indian Remy Wig Collection is a high quality collection of human hair wigs. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectable natural look that is smooth and manageable. The Remy process also brings tangling, matting, and shedding to a bare minimum.</p></li>",11,HARU,HARU,HARU,HARU,HARU,HARU,HARU,HARU,HARU,HARU,HARU,HARU,HARU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,DX2216,DX3147,DX4130,DX4145,F1B-30,F1B-33,F4-30,TTOL1B-BLUE,TTOL1B-PINK,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,22,9,37,11,37,32,53,48,32,92,42,31,21,,,,,,,,,,,,,,1
HELEN,11,jane@sinahair.com,WIG,Human Hair Wigs,,HELEN,1434573584helen.jpg ,,,,,,,100,Pieces,21,21,42,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Helen</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",8,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,HELEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,34,44,51,280,F1B-27S,F1B-30,F1B-33,F237,F4-30,P1B-BG,T1B-30,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,12,9,0,0,6,8,6,5,14,13,13,8,9,85,12,,,,,,,,,,,,1
JADA,11,jane@sinahair.com,WIG,Human Hair Wigs,,JADA,1434573782jada.jpg ,1434573782jada_back.jpg ,1434573782jada_f1b_30.jpg ,1434573782jada_side.jpg ,,,,100,Pieces,44,44,132,0,,0,,2nd Shipping,Yes,USPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Jada</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",8,JADA,JADA,JADA,JADA,JADA,JADA,JADA,JADA,JADA,JADA,JADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,F1B-27S,F1B-30,F1B-33,F237,P27-613,TT1B-33,TT1B-350,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,,,12,12,11,11,9,4,13,1,3,12,25,,,,,,,,,,,,,,,,1
JANE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,JANE H,1434573954jane.jpg ,,,,,,,99,Pieces,34,34,102,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig JANE HH</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",12,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,JANE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,6,8,F1B-30,F1B-33,F237,M99J-350,P1B-144,P1B-27,P1B-350,P1B-BG,P27-613,T1B-27,T1B-BG,T4-118-144,TT1B-30,TT1B-33,,,,,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,,0,2,0,0,40,2,0,-2,6,0,72,58,11,53,0,72,33,65,2,5,,,,,,,1
JENIF H,11,jane@sinahair.com,WIG,Human Hair Wigs,,JENIF H,1434574348jennifer hh.jpg ,,,,,,,100,Pieces,41,41,123,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Jennifer HH</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",10,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,JENIF H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,34,44,51,280,F1B-30,F1B-33,P27-613,T1B-33,,,,,,,,,,,,,,41,41,41,41,41,41,41,41,41,41,41,41,,,,,,,,,,,,,,9,6,1,4,19,18,19,20,0,0,6,1,,,,,,,,,,,,,,,1
JENNY,11,jane@sinahair.com,WIG,Human Hair Wigs,,JENNY,1434643438jenny.jpg ,,,,,,,62,Pieces,29,29,87,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Jenny</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",20,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,JENNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,34,44,51,280,F1B-30,F1B-33,F237,F4-30,P27-613,T1B-30,T1B-33,T1B-BG,,,,,,,,,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,8,20,10,9,7,14,4,10,0,1,22,10,10,1,14,47,,,,,,,,,,,1
JULIE H,11,jane@sinahair.com,WIG,Human Hair Wigs,,JULIE H,1434643688julie.jpg ,,,,,,,98,Pieces,98,98,294,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Julie H</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",17,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,JULIE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,2F350,F1B-27,F1B-27S,F1B-30,F1B-33,F237,F4-27,F4-30,M99J-350,P1B-BG,P27-613,T-1B-33,TT1B-30,TT1B-99J,TT1B-BG,TT27-613,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,,,,,21,40,22,13,8,11,113,10,64,4,18,6,54,1,9,2,0,3,20,1,,,,,,,1
JULIE H II,11,jane@sinahair.com,WIG,Human Hair Wigs,,JULIE H II,1434652630julie II.jpg ,,,,,,,97,Pieces,51,51,102,0,,0,,2nd Shipping,Yes,USPS,0,China,1,Ib,"<p><strong>Silhouette H.H. Wig Julie II</strong></p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market.</li>
	<li>Dedicated to satisfy the highest quality product in the market.</li>
</ul>
",21,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,JULIE H II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,F1B-27S,F1B-30,F1B-33,F1B-BG,F237,F4-27,F4-30,P14-27-22,P27-30-33,P27-613,PH27-16-24,PH33-27-613,TT1B-BG,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,8,4,5,9,13,4,8,0,10,2,9,1,23,9,4,61,18,,,,,,,,,"Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch",1
test,11,jane@sinahair.com,BEAUTY,Skin Care,,test,1434681866mixed chicks leave-in_kis.jpg ,,,,,,,83,Pieces,10,1,30,0,,0,,7-14 Business Days,Yes,USPS,0,China,1,Ib,"test<img src=""http://beautco.com/../editor_save_img/1169928500low-poo_cleanser.jpg"" width=""500""><div>hello&nbsp;</div><div><img src=""http://beautco.com/../editor_save_img/97149376714067707.jpg"" width=""410""><br></div>",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
KASSIA,11,jane@sinahair.com,WIG,Human Hair Wigs,,KASSIA,1434694662kassia.jpg ,,,,,,,94,Pieces,66,66,122,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p>Silhouette H.H. Wig Kassia</p>

<ul>
	<li>100% Human Hair.</li>
	<li>Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty indust</li>
</ul>
",24,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,KASSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,F1B_27,F1B_27S,F1B_30,F1B_33,F237,F4_27,F4_30,P27_613,,,,,,,,,,,,,,66,66,66,66,66,66,66,66,66,66,66,66,,,,,,,,,,,,,,18,21,19,16,2,5,8,3,6,4,15,7,,,,,,,,,,,,,,"Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch",1
LACE-001,11,jane@sinahair.com,LACE WIG,Whole Lace Wigs,,LACE-001,1434695120lace001.jpg ,1434695120fulllacewig_INSIDE.jpg ,1434695120fulllacewig_close.jpg ,1434695120fulllacewig.jpg ,,,,100,Pieces,350,350,700,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<span style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><b>SILKY FULL LACE WIG LACE 001 <br>100% REMY HAIR</b><br><b>DESCRIPTION:</b></span><span style=""color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">&nbsp;100% hand-tied from base to finishing / Indisputably natural &amp; free-flowing hair / Freedom to part in any direction / Moves &amp; handles like your own hair / Unprocessed hair performs beautifully with color, perm, and bleach processing / Lavish yourself with the purest form of natural hair that possesses the most extravagant detail. Experience a new level of craftsmanship with 100% hand-knotted hair in the healthiest &amp; the most optimized form that performs beautifully like your own hair. A true masterpiece from the base to the finishing, each and every product is handled individually. Every stand of hair is selected adhering to the highest standard of quality, then tied strand by stand by the careful hands of expert artisans. For your peace of mind on quality and value, each product comes with a certificate of authenticity. Indulge yourself with confidence, in the privilege of wearing the most luxurious form of natural hair with the added benefit of being able to preserve its quality. /</span><br>",13,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,LACE-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,6,8,P10-16,P14-24,P1B-30,P27-613,P4-27,P4-30,P6-27,,,,,,,,,,,,,350,350,350,350,350,350,350,350,350,350,350,350,350,,,,,,,,,,,,,6,6,3,9,6,11,8,13,6,5,10,6,10,,,,,,,,,,,,,,1
LACE-002,11,jane@sinahair.com,LACE WIG,Whole Lace Wigs,,LACE-002,1434695507lace002.jpg ,1434695507fulllacewig_close.jpg ,1434695507fulllacewig_INSIDE.jpg ,1434695507fulllacewig.jpg ,,,,100,Pieces,350,350,700,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><span style=""background-color:rgb(245, 245, 245); color:rgb(47, 49, 53); font-family:arial,helvetica,sans-serif; font-size:13px"">YAKY FULL LACE WIG LACE-002&nbsp;<br />
<strong>100% REMY HAIR</strong><br />
<strong>DESCRIPTION:</strong></span><span style=""background-color:rgb(245, 245, 245); color:rgb(47, 49, 53); font-family:arial,helvetica,sans-serif; font-size:13px"">&nbsp;100% hand-tied from base to finishing / Indisputably natural &amp; free-flowing hair / Freedom to part in any direction / Moves &amp; handles like your own hair / Unprocessed hair performs beautifully with color, perm, and bleach processing / Lavish yourself with the purest form of natural hair that possesses the most extravagant detail. Experience a new level of craftsmanship with 100% hand-knotted hair in the healthiest &amp; the most optimized form that performs beautifully like your own hair. A true masterpiece from the base to the finishing, each and every product is handled individually. Every stand of ha",13,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,LACE-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,6,8,P10-16,P14-24,P1B-30,P27-613,P4-27,P4-30,P6-27,,,,,,,,,,,,,350,350,350,350,350,350,350,350,350,350,350,350,350,,,,,,,,,,,,,17,6,9,4,9,11,12,12,7,10,11,8,12,,,,,,,,,,,,,"Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch",1
LACE-003,11,jane@sinahair.com,LACE WIG,Whole Lace Wigs,,LACE-003,1434695792lacefrontal_S.jpg ,1434695792lacefrontal_inside.jpg ,,,,,,100,Pieces,100,100,200,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">SILHOUETTE H.H REMY Lace Closure TOP PIECE 16 INCH</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><span style=""font-weight: 700; margin: 0px; padding: 0px;"">SILHOUETT&nbsp;</span>REMY Lace Top TOP PIECE 16 inch<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Remy human hair</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Excellent quality, perfect for your thinning area</li>",12,LACE-003,LACE-003,LACE-003,LACE-003,LACE-003,LACE-003,LACE-003,LACE-003,LACE-003,LACE-003,LACE-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,6,P10-16,P14-24,P1B-30,P4-27,P4-30,P6-27,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,26,23,0,11,1,1,2,3,1,3,1,,,,,,,,,,,,,,,,1
LACE-004,11,jane@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-004,1434696037lace004.jpg ,,,,,,,100,Pieces,150,150,300,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Lace Wig LACE 004</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% REMY HAIR&nbsp;</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">French Lace</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">18-20"" Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig has the advantage in which such activities are possible with no restriction.&nbsp;</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">3. Convenience Lace wig is not restricted by any activities of daily life such as shower, sleeping, curl, dye or washing.&nbsp;</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">4. Specialty One of the main uniqueness of the products is that they use lace of the highest quality that is soft and thin yet strong. Also, hair used is Remy Human Hair, hair of highest quality used for Debut, and this allows the lace wig that is used on average for 6 to 12 months to maintain its original condition even after numerous washing.</li>",17,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,LACE-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,6,8,P10-16,P14-24,P1B-30,P27-613,P4-27,P4-30,P6-27,,,,,,,,,,,,,150,150,150,150,150,150,150,150,150,150,150,150,150,,,,,,,,,,,,,2,9,3,3,3,2,8,3,0,4,3,1,4,,,,,,,,,,,,,,1
LACE-006,11,jane@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-006,1434696479lace006.jpg ,,,,,,,31,Pieces,150,150,300,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p><strong>Silhouette Remy Lace Wig LACE 006</strong></p>

<ul>
	<li>100% REMY HAIR&nbsp;</li>
	<li>French Lace</li>
	<li>18-20&quot; Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li>
	<li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li>
	<li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wig",22,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,LACE-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,6,8,P10-16,P14-24,P1B-30,P27-613,P4-27,P4-30,P6-27,,,,,,,,,,,,,150,150,150,150,150,150,150,150,150,150,150,150,150,,,,,,,,,,,,,0,2,2,1,8,9,8,6,6,4,13,3,6,,,,,,,,,,,,,"Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch,Inch",1
LACE-007,11,jane@sinahair.com,LACE WIG,Human Hair Lace Wigs,,LACE-007,1435603836lace007.jpg ,,,,,,,100,Pieces,190,190,570,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<p style=""color: rgb(51, 51, 51); background-color: rgb(245, 245, 245);""><span style=""font-weight: 700;"">Silhouette Remy Lace Wig LACE 007</span></p><ul style=""color: rgb(51, 51, 51); background-color: rgb(245, 245, 245);""><li>100% REMY HAIR&nbsp;</li><li>French Lace</li><li>18-20"" Length What could be the reason for the explosive popularity of Lace wig in the hair market? The reason consumers seek lace wig despite its expensive price can be found in its superior quality of natural look and feel compared to other hair products. Expression of utmost confidence Debut Lace Wig&nbsp;</li><li>1. Debut Lace Wig is a natural wig that looks and feels like your own hair. When the wig is worn by applying it using glue (lasts average of 4-10 weeks) or glue tape (lasts average of 1 -10 days), its look and feel is so natural that even the users at times forget that they are wearing a wig.&nbsp;</li><li>2. Secure attachment When using other general hair products (such as weaving or general wigs and draw strings), exercises that require big motions or activities such as swimming while wearing the products is difficult. However, Lace wi</li></ul>",4,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,LACE-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001B,2,4,6,8,P10_16,P14_24,P1B_30,P27_613,P4_27,P4_30,P6_27,,,,,,,,,,,,,190,190,190,190,190,190,190,190,190,190,190,190,190,,,,,,,,,,,,,9,8,5,41,1,3,4,0,7,1,12,1,0,,,,,,,,,,,,,,1
